sofifa_id,wage_eur,preferred_foot,player_positions,Skill,Value
182521,310000,Right,CM,skill_moves,3
182521,310000,Right,CM,skill_dribbling,80
182521,310000,Right,CM,skill_curve,86
182521,310000,Right,CM,skill_fk_accuracy,84
182521,310000,Right,CM,skill_long_passing,93
182521,310000,Right,CM,skill_ball_control,88
177003,190000,Right,CM,skill_moves,4
177003,190000,Right,CM,skill_dribbling,85
177003,190000,Right,CM,skill_curve,85
177003,190000,Right,CM,skill_fk_accuracy,78
177003,190000,Right,CM,skill_long_passing,89
177003,190000,Right,CM,skill_ball_control,90
189513,64000,Right,CM,skill_moves,3
189513,64000,Right,CM,skill_dribbling,82
189513,64000,Right,CM,skill_curve,88
189513,64000,Right,CM,skill_fk_accuracy,90
189513,64000,Right,CM,skill_long_passing,90
189513,64000,Right,CM,skill_ball_control,86
224232,120000,Right,CM,skill_moves,3
224232,120000,Right,CM,skill_dribbling,83
224232,120000,Right,CM,skill_curve,75
224232,120000,Right,CM,skill_fk_accuracy,67
224232,120000,Right,CM,skill_long_passing,79
224232,120000,Right,CM,skill_ball_control,87
225193,47000,Left,CM,skill_moves,3
225193,47000,Left,CM,skill_dribbling,83
225193,47000,Left,CM,skill_curve,80
225193,47000,Left,CM,skill_fk_accuracy,69
225193,47000,Left,CM,skill_long_passing,82
225193,47000,Left,CM,skill_ball_control,84
230658,90000,Right,CM,skill_moves,4
230658,90000,Right,CM,skill_dribbling,87
230658,90000,Right,CM,skill_curve,83
230658,90000,Right,CM,skill_fk_accuracy,60
230658,90000,Right,CM,skill_long_passing,85
230658,90000,Right,CM,skill_ball_control,90
239053,160000,Right,CM,skill_moves,3
239053,160000,Right,CM,skill_dribbling,79
239053,160000,Right,CM,skill_curve,70
239053,160000,Right,CM,skill_fk_accuracy,66
239053,160000,Right,CM,skill_long_passing,84
239053,160000,Right,CM,skill_ball_control,82
168651,39000,Right,CM,skill_moves,3
168651,39000,Right,CM,skill_dribbling,79
168651,39000,Right,CM,skill_curve,88
168651,39000,Right,CM,skill_fk_accuracy,82
168651,39000,Right,CM,skill_long_passing,86
168651,39000,Right,CM,skill_ball_control,82
180206,155000,Right,CM,skill_moves,3
180206,155000,Right,CM,skill_dribbling,81
180206,155000,Right,CM,skill_curve,86
180206,155000,Right,CM,skill_fk_accuracy,92
180206,155000,Right,CM,skill_long_passing,82
180206,155000,Right,CM,skill_ball_control,83
224293,89000,Right,CM,skill_moves,3
224293,89000,Right,CM,skill_dribbling,76
224293,89000,Right,CM,skill_curve,85
224293,89000,Right,CM,skill_fk_accuracy,84
224293,89000,Right,CM,skill_long_passing,85
224293,89000,Right,CM,skill_ball_control,82
226271,77000,Left,CM,skill_moves,4
226271,77000,Left,CM,skill_dribbling,83
226271,77000,Left,CM,skill_curve,75
226271,77000,Left,CM,skill_fk_accuracy,59
226271,77000,Left,CM,skill_long_passing,80
226271,77000,Left,CM,skill_ball_control,86
234943,36000,Right,CM,skill_moves,3
234943,36000,Right,CM,skill_dribbling,83
234943,36000,Right,CM,skill_curve,77
234943,36000,Right,CM,skill_fk_accuracy,41
234943,36000,Right,CM,skill_long_passing,88
234943,36000,Right,CM,skill_ball_control,84
156519,63000,Right,CM,skill_moves,3
156519,63000,Right,CM,skill_dribbling,76
156519,63000,Right,CM,skill_curve,69
156519,63000,Right,CM,skill_fk_accuracy,68
156519,63000,Right,CM,skill_long_passing,79
156519,63000,Right,CM,skill_ball_control,78
181872,105000,Right,CM,skill_moves,3
181872,105000,Right,CM,skill_dribbling,76
181872,105000,Right,CM,skill_curve,76
181872,105000,Right,CM,skill_fk_accuracy,68
181872,105000,Right,CM,skill_long_passing,79
181872,105000,Right,CM,skill_ball_control,83
205569,69000,Right,CM,skill_moves,3
205569,69000,Right,CM,skill_dribbling,76
205569,69000,Right,CM,skill_curve,92
205569,69000,Right,CM,skill_fk_accuracy,92
205569,69000,Right,CM,skill_long_passing,84
205569,69000,Right,CM,skill_ball_control,82
251854,51000,Right,CM,skill_moves,4
251854,51000,Right,CM,skill_dribbling,84
251854,51000,Right,CM,skill_curve,73
251854,51000,Right,CM,skill_fk_accuracy,51
251854,51000,Right,CM,skill_long_passing,80
251854,51000,Right,CM,skill_ball_control,83
162347,88000,Right,CM,skill_moves,3
162347,88000,Right,CM,skill_dribbling,76
162347,88000,Right,CM,skill_curve,84
162347,88000,Right,CM,skill_fk_accuracy,82
